Ordinance,Pool,Meter,Year,nrows,MFStart,MfEnd,MFLength,WTCStart,WTCEnd,WTCLength,Distance,DistanceFromEdge,Co_WTC,Co_MF,Co,1,2,3,4,5,ClayAvg,Clay %
NS,1,11,2020,3,98,107,9,107,107,0,11.9,0.7,1,1,1,NA,NA,NA,NA,NA,NA,15.92
NS,1,11,2021,7,95,95,0,NA,NA,NA,11.1,1.5,NA,0,0,33,27,25,25,28,27.6,27.6
NS,1,11,2021,7,95,95,0,NA,NA,NA,11.3,1.3,NA,0,0,NA,NA,NA,NA,NA,NA,24.68
NS,1,11,2021,7,95,95,0,NA,NA,NA,11.5,1.1,NA,0,0,NA,NA,NA,NA,NA,NA,21.76
NS,1,11,2021,7,95,95,0,NA,NA,NA,11.7,0.9,NA,0,0,NA,NA,NA,NA,NA,NA,18.84
NS,1,11,2021,7,95,95,0,NA,NA,NA,11.9,0.7,NA,0,0,NA,NA,NA,NA,NA,NA,15.92
NS,1,11,2018,3,NA,NA,NA,NA,NA,NA,11.1,1.5,NA,NA,NA,33,27,25,25,28,27.6,27.6
NS,1,11,2018,3,NA,NA,NA,NA,NA,NA,11.3,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.68
NS,1,11,2018,3,NA,NA,NA,NA,NA,NA,11.5,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.76
NS,1,11,2018,3,NA,NA,NA,NA,NA,NA,11.7,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.84
NS,1,11,2018,3,NA,NA,NA,NA,NA,NA,11.9,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.92
NS,1,12,2018,3,NA,NA,NA,NA,NA,NA,12.1,0.5,NA,NA,NA,14,13,10,15,13,13,13
NS,1,12,2018,3,NA,NA,NA,NA,NA,NA,12.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
NS,1,12,2018,3,NA,NA,NA,NA,NA,NA,12.5,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
NS,1,12,2019,2,NA,NA,NA,NA,NA,NA,12.1,0.5,NA,NA,NA,14,13,10,15,13,13,13
NS,1,12,2019,2,NA,NA,NA,NA,NA,NA,12.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
NS,1,12,2019,2,NA,NA,NA,NA,NA,NA,12.5,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
NS,1,12,2020,3,NA,NA,NA,NA,NA,NA,12.1,0.5,NA,NA,NA,14,13,10,15,13,13,13
NS,1,12,2020,3,NA,NA,NA,NA,NA,NA,12.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
NS,1,12,2020,3,NA,NA,NA,NA,NA,NA,12.5,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
NS,1,12,2021,6,NA,NA,NA,NA,NA,NA,12.1,0.5,NA,NA,NA,14,13,10,15,13,13,13
NS,1,12,2021,6,NA,NA,NA,NA,NA,NA,12.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
NS,1,12,2021,6,NA,NA,NA,NA,NA,NA,12.5,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
NS,1,2,2020,3,107,107,0,92,92,0,2.1,2.1,1,1,1,22,20,21,19,25,21.4,21.4
NS,1,2,2020,3,107,107,0,92,92,0,2.3,2.3,1,1,1,NA,NA,NA,NA,NA,NA,30.8
NS,1,2,2020,3,107,107,0,92,92,0,2.5,2.5,1,1,1,NA,NA,NA,NA,NA,NA,40.2
NS,1,2,2020,3,107,107,0,92,92,0,2.7,2.7,1,1,1,NA,NA,NA,NA,NA,NA,49.6
NS,1,2,2020,3,107,107,0,92,92,0,2.9,2.9,1,1,1,NA,NA,NA,NA,NA,NA,59
NS,1,2,2021,7,68,103,35,81,81,0,2.1,2.1,1,1,1,22,20,21,19,25,21.4,21.4
NS,1,2,2021,7,68,103,35,81,81,0,2.3,2.3,1,1,1,NA,NA,NA,NA,NA,NA,30.8
NS,1,2,2021,7,68,103,35,81,81,0,2.5,2.5,1,1,1,NA,NA,NA,NA,NA,NA,40.2
NS,1,2,2021,7,68,103,35,81,81,0,2.7,2.7,1,1,1,NA,NA,NA,NA,NA,NA,49.6
NS,1,2,2021,7,68,103,35,81,81,0,2.9,2.9,1,1,1,NA,NA,NA,NA,NA,NA,59
NS,1,2,2018,3,NA,NA,NA,NA,NA,NA,2.1,2.1,NA,NA,NA,22,20,21,19,25,21.4,21.4
NS,1,2,2018,3,NA,NA,NA,NA,NA,NA,2.3,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.8
NS,1,2,2018,3,NA,NA,NA,NA,NA,NA,2.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.2
NS,1,2,2018,3,NA,NA,NA,NA,NA,NA,2.7,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.6
NS,1,2,2018,3,NA,NA,NA,NA,NA,NA,2.9,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,59
NS,1,2,2019,2,102,102,0,NA,NA,NA,2.1,2.1,NA,0,0,22,20,21,19,25,21.4,21.4
NS,1,2,2019,2,102,102,0,NA,NA,NA,2.3,2.3,NA,0,0,NA,NA,NA,NA,NA,NA,30.8
NS,1,2,2019,2,102,102,0,NA,NA,NA,2.5,2.5,NA,0,0,NA,NA,NA,NA,NA,NA,40.2
NS,1,2,2019,2,102,102,0,NA,NA,NA,2.7,2.7,NA,0,0,NA,NA,NA,NA,NA,NA,49.6
NS,1,2,2019,2,102,102,0,NA,NA,NA,2.9,2.9,NA,0,0,NA,NA,NA,NA,NA,NA,59
NS,1,3,2019,2,102,102,0,NA,NA,NA,3.1,3.1,NA,0,0,65,77,68,64,68,68.4,68.4
